year,state,quarter,suppression,totalRX
2017,AK,1,F,2634
2017,AK,1,T,0
2017,AK,2,F,2707
2017,AK,2,T,0
2017,AK,3,F,2819
2017,AK,3,T,0
2017,AK,4,F,2466
2017,AK,4,T,0
2017,AL,1,F,4349
2017,AL,1,T,0
2017,AL,2,F,4059
2017,AL,2,T,0
2017,AL,3,F,4056
2017,AL,3,T,0
2017,AL,4,F,3980
2017,AL,4,T,0
2017,AR,1,F,7490
2017,AR,1,T,0
2017,AR,2,F,7331
2017,AR,2,T,0
2017,AR,3,F,7413
2017,AR,3,T,0
2017,AR,4,F,6906
2017,AR,4,T,0
2017,AZ,1,F,20045
2017,AZ,1,T,0
2017,AZ,2,F,19872
2017,AZ,2,T,0
2017,AZ,3,F,18869
2017,AZ,3,T,0
2017,AZ,4,F,17600
2017,AZ,4,T,0
2017,CA,1,F,94263
2017,CA,1,T,0
2017,CA,2,F,91643
2017,CA,2,T,0
2017,CA,3,F,80113
2017,CA,3,T,0
2017,CA,4,F,84281
2017,CA,4,T,0
2017,CO,1,F,19207
2017,CO,1,T,0
2017,CO,2,F,18715
2017,CO,2,T,0
2017,CO,3,F,18249
2017,CO,3,T,0
2017,CO,4,F,17173
2017,CO,4,T,0
2017,CT,1,F,16983
2017,CT,1,T,0
2017,CT,2,F,16506
2017,CT,2,T,0
2017,CT,3,F,15987
2017,CT,3,T,0
2017,CT,4,F,15667
2017,CT,4,T,0
2017,DC,1,F,2127
2017,DC,1,T,0
2017,DC,2,F,2093
2017,DC,2,T,0
2017,DC,3,F,1873
2017,DC,3,T,0
2017,DC,4,F,1921
2017,DC,4,T,0
2017,DE,1,F,4115
2017,DE,1,T,0
2017,DE,2,F,4529
2017,DE,2,T,0
2017,DE,3,F,4088
2017,DE,3,T,0
2017,DE,4,F,3815
2017,DE,4,T,0
2017,FL,1,F,24780
2017,FL,1,T,0
2017,FL,2,F,29854
2017,FL,2,T,0
2017,FL,3,F,24974
2017,FL,3,T,0
2017,FL,4,F,24131
2017,FL,4,T,0
2017,HI,1,F,4235
2017,HI,1,T,0
2017,HI,2,F,3873
2017,HI,2,T,0
2017,HI,3,F,3071
2017,HI,3,T,0
2017,HI,4,F,2720
2017,HI,4,T,0
2017,IA,1,F,3260
2017,IA,1,T,0
2017,IA,2,F,3642
2017,IA,2,T,0
2017,IA,3,F,4181
2017,IA,3,T,0
2017,IA,4,F,5444
2017,IA,4,T,0
2017,ID,1,F,3772
2017,ID,1,T,0
2017,ID,2,F,3642
2017,ID,2,T,0
2017,ID,3,F,3428
2017,ID,3,T,0
2017,ID,4,F,3450
2017,ID,4,T,0
2017,IL,1,F,28392
2017,IL,1,T,0
2017,IL,2,F,17816
2017,IL,2,T,0
2017,IL,3,F,17129
2017,IL,3,T,0
2017,IL,4,F,16488
2017,IL,4,T,0
2017,IN,1,F,14693
2017,IN,1,T,0
2017,IN,2,F,14228
2017,IN,2,T,0
2017,IN,3,F,13882
2017,IN,3,T,0
2017,IN,4,F,13807
2017,IN,4,T,0
2017,KS,1,F,4491
2017,KS,1,T,0
2017,KS,2,F,10724
2017,KS,2,T,0
2017,KS,3,F,3779
2017,KS,3,T,0
2017,KS,4,F,3769
2017,KS,4,T,0
2017,KY,1,F,13541
2017,KY,1,T,0
2017,KY,2,F,13497
2017,KY,2,T,0
2017,KY,3,F,13201
2017,KY,3,T,0
2017,KY,4,F,12933
2017,KY,4,T,0
2017,LA,1,F,22739
2017,LA,1,T,0
2017,LA,2,F,25815
2017,LA,2,T,0
2017,LA,3,F,23793
2017,LA,3,T,0
2017,LA,4,F,23765
2017,LA,4,T,0
2017,MA,1,F,20563
2017,MA,1,T,0
2017,MA,2,F,21554
2017,MA,2,T,0
2017,MA,3,F,19025
2017,MA,3,T,0
2017,MA,4,F,18500
2017,MA,4,T,0
2017,MD,1,F,21084
2017,MD,1,T,0
2017,MD,2,F,20284
2017,MD,2,T,0
2017,MD,3,F,18191
2017,MD,3,T,0
2017,MD,4,F,19436
2017,MD,4,T,0
2017,ME,1,F,2398
2017,ME,1,T,0
2017,ME,2,F,2360
2017,ME,2,T,0
2017,ME,3,F,2194
2017,ME,3,T,0
2017,ME,4,F,2154
2017,ME,4,T,0
2017,MI,1,F,23969
2017,MI,1,T,0
2017,MI,2,F,25244
2017,MI,2,T,0
2017,MI,3,F,24951
2017,MI,3,T,0
2017,MI,4,F,22699
2017,MI,4,T,0
2017,MN,1,F,17921
2017,MN,1,T,0
2017,MN,2,F,18992
2017,MN,2,T,0
2017,MN,3,F,18140
2017,MN,3,T,0
2017,MN,4,F,18256
2017,MN,4,T,0
2017,MO,1,F,16389
2017,MO,1,T,0
2017,MO,2,F,15421
2017,MO,2,T,0
2017,MO,3,F,15911
2017,MO,3,T,0
2017,MO,4,F,15122
2017,MO,4,T,0
2017,MS,1,F,2352
2017,MS,1,T,0
2017,MS,2,F,2290
2017,MS,2,T,0
2017,MS,3,F,2142
2017,MS,3,T,0
2017,MS,4,F,2026
2017,MS,4,T,0
2017,MT,1,F,4240
2017,MT,1,T,0
2017,MT,2,F,4442
2017,MT,2,T,0
2017,MT,3,F,4332
2017,MT,3,T,0
2017,MT,4,F,4605
2017,MT,4,T,0
2017,NC,1,F,18217
2017,NC,1,T,0
2017,NC,2,F,14566
2017,NC,2,T,0
2017,NC,3,F,15769
2017,NC,3,T,0
2017,NC,4,F,12911
2017,NC,4,T,0
