year,gennme,state,quarter,suppression,totalRX
2017,Eszopiclone,AK,1,F,233
2017,Eszopiclone,AK,1,T,0
2017,Zaleplon,AK,1,F,63
2017,Zaleplon,AK,1,T,0
2017,Zolpidem Tartrate,AK,1,F,2338
2017,Zolpidem Tartrate,AK,1,T,0
2017,Eszopiclone,AK,2,F,276
2017,Eszopiclone,AK,2,T,0
2017,Zaleplon,AK,2,F,62
2017,Zaleplon,AK,2,T,0
2017,Zolpidem Tartrate,AK,2,F,2369
2017,Zolpidem Tartrate,AK,2,T,0
2017,Eszopiclone,AK,3,F,292
2017,Eszopiclone,AK,3,T,0
2017,Zaleplon,AK,3,F,66
2017,Zaleplon,AK,3,T,0
2017,Zolpidem Tartrate,AK,3,F,2461
2017,Zolpidem Tartrate,AK,3,T,0
2017,Eszopiclone,AK,4,F,255
2017,Eszopiclone,AK,4,T,0
2017,Zaleplon,AK,4,F,64
2017,Zaleplon,AK,4,T,0
2017,Zolpidem Tartrate,AK,4,F,2147
2017,Zolpidem Tartrate,AK,4,T,0
2017,Eszopiclone,AL,1,F,381
2017,Eszopiclone,AL,1,T,0
2017,Zaleplon,AL,1,F,15
2017,Zaleplon,AL,1,T,0
2017,Zolpidem Tartrate,AL,1,F,3953
2017,Zolpidem Tartrate,AL,1,T,0
2017,Eszopiclone,AL,2,F,356
2017,Eszopiclone,AL,2,T,0
2017,Zaleplon,AL,2,F,22
2017,Zaleplon,AL,2,T,0
2017,Zolpidem Tartrate,AL,2,F,3681
2017,Zolpidem Tartrate,AL,2,T,0
2017,Eszopiclone,AL,3,F,379
2017,Eszopiclone,AL,3,T,0
2017,Zaleplon,AL,3,F,24
2017,Zaleplon,AL,3,T,0
2017,Zolpidem Tartrate,AL,3,F,3653
2017,Zolpidem Tartrate,AL,3,T,0
2017,Eszopiclone,AL,4,F,393
2017,Eszopiclone,AL,4,T,0
2017,Zaleplon,AL,4,F,28
2017,Zaleplon,AL,4,T,0
2017,Zolpidem Tartrate,AL,4,F,3559
2017,Zolpidem Tartrate,AL,4,T,0
2017,Eszopiclone,AR,1,T,0
2017,Zaleplon,AR,1,F,477
2017,Zolpidem Tartrate,AR,1,F,7013
2017,Zolpidem Tartrate,AR,1,T,0
2017,Eszopiclone,AR,2,T,0
2017,Zaleplon,AR,2,F,463
2017,Zaleplon,AR,2,T,0
2017,Zolpidem Tartrate,AR,2,F,6868
2017,Zolpidem Tartrate,AR,2,T,0
2017,Eszopiclone,AR,3,T,0
2017,Zaleplon,AR,3,F,501
2017,Zaleplon,AR,3,T,0
2017,Zolpidem Tartrate,AR,3,F,6912
2017,Zolpidem Tartrate,AR,3,T,0
2017,Eszopiclone,AR,4,T,0
2017,Zaleplon,AR,4,F,455
2017,Zaleplon,AR,4,T,0
2017,Zolpidem Tartrate,AR,4,F,6451
2017,Zolpidem Tartrate,AR,4,T,0
2017,Eszopiclone,AZ,1,F,1053
2017,Eszopiclone,AZ,1,T,0
2017,Zaleplon,AZ,1,F,510
2017,Zaleplon,AZ,1,T,0
2017,Zolpidem Tartrate,AZ,1,F,18482
2017,Zolpidem Tartrate,AZ,1,T,0
2017,Eszopiclone,AZ,2,F,1133
2017,Eszopiclone,AZ,2,T,0
2017,Zaleplon,AZ,2,F,491
2017,Zaleplon,AZ,2,T,0
2017,Zolpidem Tartrate,AZ,2,F,18248
2017,Zolpidem Tartrate,AZ,2,T,0
2017,Eszopiclone,AZ,3,F,1066
2017,Eszopiclone,AZ,3,T,0
2017,Zaleplon,AZ,3,F,482
2017,Zaleplon,AZ,3,T,0
2017,Zolpidem Tartrate,AZ,3,F,17321
2017,Zolpidem Tartrate,AZ,3,T,0
2017,Eszopiclone,AZ,4,F,1240
2017,Eszopiclone,AZ,4,T,0
2017,Zaleplon,AZ,4,F,445
2017,Zaleplon,AZ,4,T,0
2017,Zolpidem Tartrate,AZ,4,F,15915
2017,Zolpidem Tartrate,AZ,4,T,0
2017,Eszopiclone,CA,1,F,2039
2017,Eszopiclone,CA,1,T,0
2017,Zaleplon,CA,1,F,893
2017,Zaleplon,CA,1,T,0
2017,Zolpidem Tartrate,CA,1,F,91331
2017,Zolpidem Tartrate,CA,1,T,0
2017,Eszopiclone,CA,2,F,2264
2017,Eszopiclone,CA,2,T,0
2017,Zaleplon,CA,2,F,881
2017,Zaleplon,CA,2,T,0
2017,Zolpidem Tartrate,CA,2,F,88498
2017,Zolpidem Tartrate,CA,2,T,0
2017,Eszopiclone,CA,3,F,2162
2017,Eszopiclone,CA,3,T,0
2017,Zaleplon,CA,3,F,897
2017,Zaleplon,CA,3,T,0
2017,Zolpidem Tartrate,CA,3,F,77054
2017,Zolpidem Tartrate,CA,3,T,0
2017,Eszopiclone,CA,4,F,2344
2017,Eszopiclone,CA,4,T,0
2017,Zaleplon,CA,4,F,880
2017,Zaleplon,CA,4,T,0
2017,Zolpidem Tartrate,CA,4,F,81057
2017,Zolpidem Tartrate,CA,4,T,0
2017,Eszopiclone,CO,1,F,2916
2017,Eszopiclone,CO,1,T,0
2017,Zaleplon,CO,1,F,468
2017,Zaleplon,CO,1,T,0
2017,Zolpidem Tartrate,CO,1,F,15823
2017,Zolpidem Tartrate,CO,1,T,0
2017,Eszopiclone,CO,2,F,2822
2017,Eszopiclone,CO,2,T,0
2017,Zaleplon,CO,2,F,474
2017,Zaleplon,CO,2,T,0
2017,Zolpidem Tartrate,CO,2,F,15419
2017,Zolpidem Tartrate,CO,2,T,0
2017,Eszopiclone,CO,3,F,2697
2017,Eszopiclone,CO,3,T,0
2017,Zaleplon,CO,3,F,473
2017,Zaleplon,CO,3,T,0
2017,Zolpidem Tartrate,CO,3,F,15079
2017,Zolpidem Tartrate,CO,3,T,0
2017,Eszopiclone,CO,4,F,2622
2017,Eszopiclone,CO,4,T,0
2017,Zaleplon,CO,4,F,434
2017,Zaleplon,CO,4,T,0
2017,Zolpidem Tartrate,CO,4,F,14117
2017,Zolpidem Tartrate,CO,4,T,0
2017,Eszopiclone,CT,1,F,906
2017,Eszopiclone,CT,1,T,0
2017,Zaleplon,CT,1,F,113
2017,Zaleplon,CT,1,T,0
2017,Zolpidem Tartrate,CT,1,F,15964
2017,Zolpidem Tartrate,CT,1,T,0
2017,Eszopiclone,CT,2,F,959
2017,Eszopiclone,CT,2,T,0
2017,Zaleplon,CT,2,F,139
2017,Zaleplon,CT,2,T,0
2017,Zolpidem Tartrate,CT,2,F,15408
2017,Zolpidem Tartrate,CT,2,T,0
2017,Eszopiclone,CT,3,F,851
2017,Eszopiclone,CT,3,T,0
2017,Zaleplon,CT,3,F,128
2017,Zaleplon,CT,3,T,0
2017,Zolpidem Tartrate,CT,3,F,15008
2017,Zolpidem Tartrate,CT,3,T,0
2017,Eszopiclone,CT,4,F,874
2017,Eszopiclone,CT,4,T,0
2017,Zaleplon,CT,4,F,124
2017,Zaleplon,CT,4,T,0
2017,Zolpidem Tartrate,CT,4,F,14669
2017,Zolpidem Tartrate,CT,4,T,0
2017,Eszopiclone,DC,1,T,0
2017,Zaleplon,DC,1,T,0
2017,Zolpidem Tartrate,DC,1,F,2127
2017,Zolpidem Tartrate,DC,1,T,0
2017,Eszopiclone,DC,2,T,0
2017,Zaleplon,DC,2,T,0
2017,Zolpidem Tartrate,DC,2,F,2093
2017,Zolpidem Tartrate,DC,2,T,0
2017,Eszopiclone,DC,3,T,0
2017,Zaleplon,DC,3,T,0
2017,Zolpidem Tartrate,DC,3,F,1873
2017,Zolpidem Tartrate,DC,3,T,0
2017,Eszopiclone,DC,4,T,0
2017,Zaleplon,DC,4,T,0
2017,Zolpidem Tartrate,DC,4,F,1921
2017,Zolpidem Tartrate,DC,4,T,0
2017,Eszopiclone,DE,1,F,84
2017,Eszopiclone,DE,1,T,0
2017,Zaleplon,DE,1,F,42
2017,Zaleplon,DE,1,T,0
2017,Zolpidem Tartrate,DE,1,F,3989
2017,Zolpidem Tartrate,DE,1,T,0
2017,Eszopiclone,DE,2,F,111
2017,Eszopiclone,DE,2,T,0
2017,Zaleplon,DE,2,F,27
2017,Zolpidem Tartrate,DE,2,F,4391
2017,Zolpidem Tartrate,DE,2,T,0
2017,Eszopiclone,DE,3,F,106
2017,Eszopiclone,DE,3,T,0
2017,Zaleplon,DE,3,F,24
2017,Zaleplon,DE,3,T,0
2017,Zolpidem Tartrate,DE,3,F,3958
2017,Zolpidem Tartrate,DE,3,T,0
2017,Eszopiclone,DE,4,F,108
2017,Eszopiclone,DE,4,T,0
2017,Zaleplon,DE,4,T,0
2017,Zolpidem Tartrate,DE,4,F,3707
2017,Zolpidem Tartrate,DE,4,T,0
2017,Eszopiclone,FL,1,F,51
2017,Eszopiclone,FL,1,T,0
2017,Zaleplon,FL,1,T,0
