year,gennme,prodnme,state,quarter,suppression,totalRX
2017,Eszopiclone,ESZOPICLONE,AK,1,F,233
2017,Eszopiclone,ESZOPICLONE,AK,1,T,0
2017,Zaleplon,ZALEPLON,AK,1,F,63
2017,Zaleplon,ZALEPLON,AK,1,T,0
2017,Zolpidem Tartrate,AMBIEN CR,AK,1,T,0
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,1,F,2338
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,1,T,0
2017,Eszopiclone,ESZOPICLONE,AK,2,F,276
2017,Eszopiclone,ESZOPICLONE,AK,2,T,0
2017,Zaleplon,ZALEPLON,AK,2,F,62
2017,Zaleplon,ZALEPLON,AK,2,T,0
2017,Zolpidem Tartrate,AMBIEN CR,AK,2,T,0
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,2,F,2369
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,2,T,0
2017,Eszopiclone,ESZOPICLONE,AK,3,F,292
2017,Eszopiclone,ESZOPICLONE,AK,3,T,0
2017,Zaleplon,ZALEPLON,AK,3,F,66
2017,Zaleplon,ZALEPLON,AK,3,T,0
2017,Zolpidem Tartrate,AMBIEN CR,AK,3,T,0
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,3,F,2461
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,3,T,0
2017,Eszopiclone,ESZOPICLONE,AK,4,F,255
2017,Eszopiclone,ESZOPICLONE,AK,4,T,0
2017,Eszopiclone,LUNESTA,AK,4,T,0
2017,Zaleplon,ZALEPLON,AK,4,F,64
2017,Zaleplon,ZALEPLON,AK,4,T,0
2017,Zolpidem Tartrate,AMBIEN CR,AK,4,T,0
2017,Zolpidem Tartrate,EDLUAR,AK,4,T,0
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,4,F,2147
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,4,T,0
2017,Eszopiclone,ESZOPICLONE,AL,1,F,381
2017,Eszopiclone,ESZOPICLONE,AL,1,T,0
2017,Eszopiclone,LUNESTA,AL,1,T,0
2017,Zaleplon,ZALEPLON,AL,1,F,15
2017,Zaleplon,ZALEPLON,AL,1,T,0
2017,Zolpidem Tartrate,AMBIEN,AL,1,T,0
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AL,1,F,3953
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AL,1,T,0
2017,Eszopiclone,ESZOPICLONE,AL,2,F,356
2017,Eszopiclone,ESZOPICLONE,AL,2,T,0
2017,Zaleplon,ZALEPLON,AL,2,F,22
