year,state,quarter,totalRXImputed
2017,AK,1,2924
2017,AK,2,2957
2017,AK,3,3099
2017,AK,4,2766
2017,AL,1,4709
2017,AL,2,4349
2017,AL,3,4356
2017,AL,4,4270
2017,AR,1,7640
2017,AR,2,7491
2017,AR,3,7583
2017,AR,4,7096
2017,AZ,1,20435
2017,AZ,2,20242
2017,AZ,3,19249
2017,AZ,4,17980
2017,CA,1,94933
2017,CA,2,92313
2017,CA,3,80783
2017,CA,4,84961
2017,CO,1,19577
2017,CO,2,19045
2017,CO,3,18679
2017,CO,4,17653
2017,CT,1,17353
2017,CT,2,16806
2017,CT,3,16277
2017,CT,4,15947
2017,DC,1,2647
2017,DC,2,2543
2017,DC,3,2263
2017,DC,4,2331
2017,DE,1,4515
2017,DE,2,4819
2017,DE,3,4388
2017,DE,4,4185
2017,FL,1,25230
2017,FL,2,30444
2017,FL,3,25484
2017,FL,4,24561
2017,HI,1,4535
2017,HI,2,4203
2017,HI,3,3291
2017,HI,4,2940
2017,IA,1,3960
2017,IA,2,4362
2017,IA,3,4781
2017,IA,4,6014
2017,ID,1,4032
2017,ID,2,3912
2017,ID,3,3738
2017,ID,4,3750
2017,IL,1,28882
2017,IL,2,18196
2017,IL,3,17539
2017,IL,4,16808
2017,IN,1,15413
2017,IN,2,14838
2017,IN,3,14502
2017,IN,4,14407
2017,KS,1,4801
2017,KS,2,11014
2017,KS,3,4129
2017,KS,4,4079
2017,KY,1,14191
2017,KY,2,14137
2017,KY,3,13831
2017,KY,4,13563
2017,LA,1,23229
2017,LA,2,26305
2017,LA,3,24273
2017,LA,4,24275
2017,MA,1,21023
2017,MA,2,22054
2017,MA,3,19575
2017,MA,4,19030
2017,MD,1,21464
2017,MD,2,20634
2017,MD,3,18491
2017,MD,4,19656
2017,ME,1,2708
2017,ME,2,2700
2017,ME,3,2454
2017,ME,4,2454
2017,MI,1,24269
2017,MI,2,25504
2017,MI,3,25201
2017,MI,4,22969
2017,MN,1,18491
2017,MN,2,19632
2017,MN,3,18800
2017,MN,4,18876
2017,MO,1,16649
2017,MO,2,15701
2017,MO,3,16151
2017,MO,4,15372
2017,MS,1,2722
2017,MS,2,2660
2017,MS,3,2462
2017,MS,4,2316
2017,MT,1,4580
2017,MT,2,4752
2017,MT,3,4622
2017,MT,4,4875
2017,NC,1,18607
2017,NC,2,14926
2017,NC,3,16139
2017,NC,4,13261
2017,ND,1,2135
2017,ND,2,2112
2017,ND,3,1906
2017,ND,4,1919
2017,NE,1,4226
2017,NE,2,3554
2017,NE,3,3605
2017,NE,4,3549
2017,NH,1,1929
2017,NH,2,1985
2017,NH,3,1839
2017,NH,4,1810
2017,NJ,1,30864
2017,NJ,2,29705
2017,NJ,3,28813
2017,NJ,4,27741
2017,NM,1,9276
2017,NM,2,8871
2017,NM,3,8567
2017,NM,4,7613
2017,NV,1,11914
2017,NV,2,11425
2017,NV,3,10800
2017,NV,4,10179
2017,NY,1,102373
2017,NY,2,104855
2017,NY,3,98626
2017,NY,4,93358
2017,OH,1,47224
2017,OH,2,55326
2017,OH,3,39847
2017,OH,4,38129
2017,OK,1,6964
2017,OK,2,6779
2017,OK,3,6449
2017,OK,4,6385
2017,OR,1,6656
2017,OR,2,8993
2017,OR,3,5960
2017,OR,4,5762
2017,PA,1,52605
