year,gennme,prodnme,state,quarter,totalRXImputed
2017,Eszopiclone,ESZOPICLONE,AK,1,373
2017,Zaleplon,ZALEPLON,AK,1,83
2017,Zolpidem Tartrate,AMBIEN CR,AK,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,1,2458
2017,Eszopiclone,ESZOPICLONE,AK,2,396
2017,Zaleplon,ZALEPLON,AK,2,92
2017,Zolpidem Tartrate,AMBIEN CR,AK,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,2,2459
2017,Eszopiclone,ESZOPICLONE,AK,3,442
2017,Zaleplon,ZALEPLON,AK,3,86
2017,Zolpidem Tartrate,AMBIEN CR,AK,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,3,2561
2017,Eszopiclone,ESZOPICLONE,AK,4,415
2017,Eszopiclone,LUNESTA,AK,4,10
2017,Zaleplon,ZALEPLON,AK,4,94
2017,Zolpidem Tartrate,AMBIEN CR,AK,4,10
2017,Zolpidem Tartrate,EDLUAR,AK,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AK,4,2227
2017,Eszopiclone,ESZOPICLONE,AL,1,551
2017,Eszopiclone,LUNESTA,AL,1,10
2017,Zaleplon,ZALEPLON,AL,1,65
2017,Zolpidem Tartrate,AMBIEN,AL,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AL,1,4073
2017,Eszopiclone,ESZOPICLONE,AL,2,526
2017,Zaleplon,ZALEPLON,AL,2,52
2017,Zolpidem Tartrate,AMBIEN,AL,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AL,2,3761
2017,Eszopiclone,ESZOPICLONE,AL,3,539
2017,Zaleplon,ZALEPLON,AL,3,64
2017,Zolpidem Tartrate,AMBIEN,AL,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AL,3,3743
2017,Eszopiclone,ESZOPICLONE,AL,4,563
2017,Zaleplon,ZALEPLON,AL,4,68
2017,Zolpidem Tartrate,AMBIEN,AL,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AL,4,3629
2017,Eszopiclone,ESZOPICLONE,AR,1,100
2017,Zaleplon,ZALEPLON,AR,1,477
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AR,1,7063
2017,Eszopiclone,ESZOPICLONE,AR,2,110
2017,Zaleplon,ZALEPLON,AR,2,473
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AR,2,6908
2017,Eszopiclone,ESZOPICLONE,AR,3,110
2017,Zaleplon,ZALEPLON,AR,3,521
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AR,3,6952
2017,Eszopiclone,ESZOPICLONE,AR,4,100
2017,Zaleplon,ZALEPLON,AR,4,475
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AR,4,6521
2017,Eszopiclone,ESZOPICLONE,AZ,1,1163
2017,Eszopiclone,LUNESTA,AZ,1,20
2017,Zaleplon,ZALEPLON,AZ,1,520
2017,Zolpidem Tartrate,AMBIEN,AZ,1,27
2017,Zolpidem Tartrate,AMBIEN CR,AZ,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AZ,1,18695
2017,Eszopiclone,ESZOPICLONE,AZ,2,1233
2017,Eszopiclone,LUNESTA,AZ,2,30
2017,Zaleplon,ZALEPLON,AZ,2,501
2017,Zolpidem Tartrate,AMBIEN,AZ,2,27
2017,Zolpidem Tartrate,AMBIEN CR,AZ,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,AZ,2,18441
2017,Eszopiclone,ESZOPICLONE,AZ,3,1196
2017,Eszopiclone,LUNESTA,AZ,3,20
2017,Zaleplon,ZALEPLON,AZ,3,492
2017,Zolpidem Tartrate,AMBIEN,AZ,3,10
2017,Zolpidem Tartrate,AMBIEN CR,AZ,3,10
2017,Zolpidem Tartrate,EDLUAR,AZ,3,10
