ndc,gennme_c,prodnme
65862096730,Eszopiclone,ESZOPICLONE
57237024001,Zaleplon,ZALEPLON
65862015901,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00378531005,Zolpidem Tartrate,ZOLPIDEM TARTRATE
10370011610,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00093007401,Zolpidem Tartrate,ZOLPIDEM TARTRATE
68462038401,Eszopiclone,ESZOPICLONE
00093553756,Eszopiclone,ESZOPICLONE
47335030888,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00054008525,Zaleplon,ZALEPLON
55111062930,Eszopiclone,ESZOPICLONE
00904608261,Zolpidem Tartrate,ZOLPIDEM TARTRATE
65862096901,Eszopiclone,ESZOPICLONE
00093553801,Eszopiclone,ESZOPICLONE
00781531601,Zolpidem Tartrate,ZOLPIDEM TARTRATE
55111061701,Eszopiclone,ESZOPICLONE
00781531710,Zolpidem Tartrate,ZOLPIDEM TARTRATE
51079072420,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00781531501,Zolpidem Tartrate,ZOLPIDEM TARTRATE
65862096801,Eszopiclone,ESZOPICLONE
10370011710,Zolpidem Tartrate,ZOLPIDEM TARTRATE
16714062202,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00955170310,Zolpidem Tartrate,ZOLPIDEM TARTRATE
13668000805,Zolpidem Tartrate,ZOLPIDEM TARTRATE
68180078001,Zolpidem Tartrate,ZOLPIDEM TARTRATE
16714062101,Zolpidem Tartrate,ZOLPIDEM TARTRATE
13668000701,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00054008425,Zaleplon,ZALEPLON
00093007301,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00781531701,Zolpidem Tartrate,ZOLPIDEM TARTRATE
57237023901,Zaleplon,ZALEPLON
29300013201,Zaleplon,ZALEPLON
33342029907,Eszopiclone,ESZOPICLONE
68180032301,Eszopiclone,ESZOPICLONE
13668000710,Zolpidem Tartrate,ZOLPIDEM TARTRATE
68462038301,Eszopiclone,ESZOPICLONE
65862096701,Eszopiclone,ESZOPICLONE
68180032401,Eszopiclone,ESZOPICLONE
47335030788,Zolpidem Tartrate,ZOLPIDEM TARTRATE
16714062201,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00093553901,Eszopiclone,ESZOPICLONE
43386076130,Zolpidem Tartrate,ZOLPIDEM TARTRATE
13668000705,Zolpidem Tartrate,ZOLPIDEM TARTRATE
13668000801,Zolpidem Tartrate,ZOLPIDEM TARTRATE
33342030111,Eszopiclone,ESZOPICLONE
68180032201,Eszopiclone,ESZOPICLONE
55111061901,Eszopiclone,ESZOPICLONE
00955170210,Zolpidem Tartrate,ZOLPIDEM TARTRATE
29300013101,Zaleplon,ZALEPLON
16714062102,Zolpidem Tartrate,ZOLPIDEM TARTRATE
42043021101,Zaleplon,ZALEPLON
33342030011,Eszopiclone,ESZOPICLONE
00378530505,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00781531801,Zolpidem Tartrate,ZOLPIDEM TARTRATE
55111047901,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00093526801,Zaleplon,ZALEPLON
00781531810,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00093526901,Zaleplon,ZALEPLON
00904608361,Zolpidem Tartrate,ZOLPIDEM TARTRATE
55111047801,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00378531001,Zolpidem Tartrate,ZOLPIDEM TARTRATE
63739052610,Zolpidem Tartrate,ZOLPIDEM TARTRATE
00378527201,Eszopiclone,ESZOPICLONE
68462038201,Eszopiclone,ESZOPICLONE
68084018901,Zolpidem Tartrate,ZOLPIDEM TARTRATE
68180077901,Zolpidem Tartrate,ZOLPIDEM TARTRATE
51079072520,Zolpidem Tartrate,ZOLPIDEM TARTRATE
42043021001,Zaleplon,ZALEPLON
63402019303,Eszopiclone,LUNESTA
00054029013,Eszopiclone,ESZOPICLONE
13668000810,Zolpidem Tartrate,ZOLPIDEM TARTRATE
