state,year,quarter,suppression_used,total_prescriptions
ak,2017,1,FALSE,2634
ak,2017,1,TRUE,0
ak,2017,2,FALSE,2707
ak,2017,2,TRUE,0
ak,2017,3,FALSE,2819
ak,2017,3,TRUE,0
ak,2017,4,FALSE,2466
ak,2017,4,TRUE,0
ak,2018,1,FALSE,2514
ak,2018,1,TRUE,0
ak,2018,2,FALSE,1804
ak,2018,2,TRUE,0
ak,2018,3,FALSE,2819
ak,2018,3,TRUE,0
ak,2018,4,FALSE,2122
ak,2018,4,TRUE,0
ak,2019,1,FALSE,2191
ak,2019,1,TRUE,0
ak,2019,2,FALSE,2056
ak,2019,2,TRUE,0
ak,2019,3,FALSE,1926
ak,2019,3,TRUE,0
ak,2019,4,FALSE,1681
ak,2019,4,TRUE,0
ak,2020,1,NA,1551
al,2017,1,FALSE,4349
al,2017,1,TRUE,0
al,2017,2,FALSE,4059
al,2017,2,TRUE,0
al,2017,3,FALSE,4056
al,2017,3,TRUE,0
al,2017,4,FALSE,3980
al,2017,4,TRUE,0
al,2018,1,FALSE,3860
al,2018,1,TRUE,0
al,2018,2,FALSE,3621
al,2018,2,TRUE,0
al,2018,3,FALSE,3579
al,2018,3,TRUE,0
al,2018,4,FALSE,3513
al,2018,4,TRUE,0
al,2019,1,FALSE,3425
al,2019,1,TRUE,0
al,2019,2,FALSE,3264
al,2019,2,TRUE,0
al,2019,3,FALSE,2712
al,2019,3,TRUE,0
al,2019,4,FALSE,2751
al,2019,4,TRUE,0
al,2020,1,NA,2870
ar,2017,1,FALSE,7490
ar,2017,1,TRUE,0
ar,2017,2,FALSE,7331
ar,2017,2,TRUE,0
ar,2017,3,FALSE,7413
ar,2017,3,TRUE,0
ar,2017,4,FALSE,6906
ar,2017,4,TRUE,0
ar,2018,1,FALSE,6761
ar,2018,1,TRUE,0
ar,2018,2,FALSE,6562
ar,2018,2,TRUE,0
ar,2018,3,FALSE,6460
ar,2018,3,TRUE,0
ar,2018,4,FALSE,6524
ar,2018,4,TRUE,0
ar,2019,1,FALSE,6140
ar,2019,1,TRUE,0
ar,2019,2,FALSE,6077
ar,2019,2,TRUE,0
ar,2019,3,FALSE,5606
ar,2019,3,TRUE,0
ar,2019,4,FALSE,5222
ar,2019,4,TRUE,0
ar,2020,1,NA,5102
az,2017,1,FALSE,20045
az,2017,1,TRUE,0
az,2017,2,FALSE,19872
az,2017,2,TRUE,0
az,2017,3,FALSE,18869
az,2017,3,TRUE,0
az,2017,4,FALSE,17600
az,2017,4,TRUE,0
az,2018,1,FALSE,17014
az,2018,1,TRUE,0
az,2018,2,FALSE,15879
az,2018,2,TRUE,0
az,2018,3,FALSE,14923
az,2018,3,TRUE,0
az,2018,4,FALSE,14148
az,2018,4,TRUE,0
az,2019,1,FALSE,13963
az,2019,1,TRUE,0
az,2019,2,FALSE,13311
az,2019,2,TRUE,0
az,2019,3,FALSE,12621
az,2019,3,TRUE,0
az,2019,4,FALSE,11983
az,2019,4,TRUE,0
az,2020,1,NA,12360
ca,2017,1,FALSE,94263
ca,2017,1,TRUE,0
ca,2017,2,FALSE,91649
ca,2017,2,TRUE,0
ca,2017,3,FALSE,80196
ca,2017,3,TRUE,0
ca,2017,4,FALSE,84275
ca,2017,4,TRUE,0
ca,2018,1,FALSE,80871
