state,year,quarter,gennme_c,suppression_used,total_prescriptions
ak,2017,1,Eszopiclone,FALSE,233
ak,2017,1,Eszopiclone,TRUE,0
ak,2017,1,Zaleplon,FALSE,63
ak,2017,1,Zaleplon,TRUE,0
ak,2017,1,Zolpidem Tartrate,FALSE,2338
ak,2017,1,Zolpidem Tartrate,TRUE,0
ak,2017,2,Eszopiclone,FALSE,276
ak,2017,2,Eszopiclone,TRUE,0
ak,2017,2,Zaleplon,FALSE,62
ak,2017,2,Zaleplon,TRUE,0
ak,2017,2,Zolpidem Tartrate,FALSE,2369
ak,2017,2,Zolpidem Tartrate,TRUE,0
ak,2017,3,Eszopiclone,FALSE,292
ak,2017,3,Eszopiclone,TRUE,0
ak,2017,3,Zaleplon,FALSE,66
ak,2017,3,Zaleplon,TRUE,0
ak,2017,3,Zolpidem Tartrate,FALSE,2461
ak,2017,3,Zolpidem Tartrate,TRUE,0
ak,2017,4,Eszopiclone,FALSE,255
ak,2017,4,Eszopiclone,TRUE,0
ak,2017,4,Zaleplon,FALSE,64
ak,2017,4,Zaleplon,TRUE,0
ak,2017,4,Zolpidem Tartrate,FALSE,2147
ak,2017,4,Zolpidem Tartrate,TRUE,0
ak,2018,1,Eszopiclone,FALSE,270
ak,2018,1,Eszopiclone,TRUE,0
ak,2018,1,Zaleplon,FALSE,57
ak,2018,1,Zaleplon,TRUE,0
ak,2018,1,Zolpidem Tartrate,FALSE,2187
ak,2018,1,Zolpidem Tartrate,TRUE,0
ak,2018,2,Eszopiclone,FALSE,185
ak,2018,2,Eszopiclone,TRUE,0
ak,2018,2,Zaleplon,FALSE,26
ak,2018,2,Zaleplon,TRUE,0
ak,2018,2,Zolpidem Tartrate,FALSE,1593
ak,2018,2,Zolpidem Tartrate,TRUE,0
ak,2018,3,Eszopiclone,FALSE,301
ak,2018,3,Eszopiclone,TRUE,0
ak,2018,3,Zaleplon,FALSE,79
ak,2018,3,Zaleplon,TRUE,0
ak,2018,3,Zolpidem Tartrate,FALSE,2439
ak,2018,3,Zolpidem Tartrate,TRUE,0
ak,2018,4,Eszopiclone,FALSE,230
ak,2018,4,Eszopiclone,TRUE,0
ak,2018,4,Zaleplon,FALSE,26
ak,2018,4,Zaleplon,TRUE,0
ak,2018,4,Zolpidem Tartrate,FALSE,1866
ak,2018,4,Zolpidem Tartrate,TRUE,0
ak,2019,1,Eszopiclone,FALSE,220
ak,2019,1,Eszopiclone,TRUE,0
ak,2019,1,Zaleplon,FALSE,45
ak,2019,1,Zaleplon,TRUE,0
ak,2019,1,Zolpidem Tartrate,FALSE,1926
ak,2019,1,Zolpidem Tartrate,TRUE,0
ak,2019,2,Eszopiclone,FALSE,217
ak,2019,2,Eszopiclone,TRUE,0
ak,2019,2,Zaleplon,FALSE,39
ak,2019,2,Zaleplon,TRUE,0
ak,2019,2,Zolpidem Tartrate,FALSE,1800
ak,2019,2,Zolpidem Tartrate,TRUE,0
ak,2019,3,Eszopiclone,FALSE,237
ak,2019,3,Eszopiclone,TRUE,0
ak,2019,3,Zaleplon,FALSE,49
ak,2019,3,Zaleplon,TRUE,0
ak,2019,3,Zolpidem Tartrate,FALSE,1640
ak,2019,3,Zolpidem Tartrate,TRUE,0
ak,2019,4,Eszopiclone,FALSE,179
ak,2019,4,Eszopiclone,TRUE,0
ak,2019,4,Zaleplon,FALSE,55
ak,2019,4,Zaleplon,TRUE,0
ak,2019,4,Zolpidem Tartrate,FALSE,1447
ak,2019,4,Zolpidem Tartrate,TRUE,0
ak,2020,1,Eszopiclone,NA,164
ak,2020,1,Zaleplon,NA,39
ak,2020,1,Zolpidem Tartrate,NA,1348
al,2017,1,Eszopiclone,FALSE,381
al,2017,1,Eszopiclone,TRUE,0
al,2017,1,Zaleplon,FALSE,15
al,2017,1,Zaleplon,TRUE,0
