year,quarter,state,gennme_c,suppression_used,total_prescriptions
2017,1,ak,Eszopiclone,FALSE,233
2017,1,ak,Eszopiclone,TRUE,0
2017,1,ak,Zaleplon,FALSE,63
2017,1,ak,Zaleplon,TRUE,0
2017,1,ak,Zolpidem Tartrate,FALSE,2338
2017,1,ak,Zolpidem Tartrate,TRUE,0
2017,1,al,Eszopiclone,FALSE,381
2017,1,al,Eszopiclone,TRUE,0
2017,1,al,Zaleplon,FALSE,15
2017,1,al,Zaleplon,TRUE,0
2017,1,al,Zolpidem Tartrate,FALSE,3953
2017,1,al,Zolpidem Tartrate,TRUE,0
2017,1,ar,Eszopiclone,TRUE,0
2017,1,ar,Zaleplon,FALSE,477
2017,1,ar,Zolpidem Tartrate,FALSE,7013
2017,1,ar,Zolpidem Tartrate,TRUE,0
2017,1,az,Eszopiclone,FALSE,1053
2017,1,az,Eszopiclone,TRUE,0
2017,1,az,Zaleplon,FALSE,510
2017,1,az,Zaleplon,TRUE,0
2017,1,az,Zolpidem Tartrate,FALSE,18482
2017,1,az,Zolpidem Tartrate,TRUE,0
2017,1,ca,Eszopiclone,FALSE,2039
2017,1,ca,Eszopiclone,TRUE,0
2017,1,ca,Zaleplon,FALSE,893
2017,1,ca,Zaleplon,TRUE,0
2017,1,ca,Zolpidem Tartrate,FALSE,91331
2017,1,ca,Zolpidem Tartrate,TRUE,0
2017,1,co,Eszopiclone,FALSE,2916
2017,1,co,Eszopiclone,TRUE,0
2017,1,co,Zaleplon,FALSE,468
2017,1,co,Zaleplon,TRUE,0
2017,1,co,Zolpidem Tartrate,FALSE,15823
2017,1,co,Zolpidem Tartrate,TRUE,0
2017,1,ct,Eszopiclone,FALSE,906
2017,1,ct,Eszopiclone,TRUE,0
2017,1,ct,Zaleplon,FALSE,113
2017,1,ct,Zaleplon,TRUE,0
2017,1,ct,Zolpidem Tartrate,FALSE,15964
2017,1,ct,Zolpidem Tartrate,TRUE,0
2017,1,dc,Eszopiclone,TRUE,0
2017,1,dc,Zaleplon,TRUE,0
2017,1,dc,Zolpidem Tartrate,FALSE,2127
2017,1,dc,Zolpidem Tartrate,TRUE,0
2017,1,de,Eszopiclone,FALSE,84
2017,1,de,Eszopiclone,TRUE,0
2017,1,de,Zaleplon,FALSE,42
2017,1,de,Zaleplon,TRUE,0
2017,1,de,Zolpidem Tartrate,FALSE,3989
2017,1,de,Zolpidem Tartrate,TRUE,0
2017,1,fl,Eszopiclone,FALSE,51
2017,1,fl,Eszopiclone,TRUE,0
2017,1,fl,Zaleplon,TRUE,0
2017,1,fl,Zolpidem Tartrate,FALSE,24729
2017,1,fl,Zolpidem Tartrate,TRUE,0
2017,1,ga,Eszopiclone,TRUE,0
2017,1,ga,Zaleplon,FALSE,103
2017,1,ga,Zaleplon,TRUE,0
2017,1,ga,Zolpidem Tartrate,FALSE,16587
2017,1,ga,Zolpidem Tartrate,TRUE,0
2017,1,hi,Eszopiclone,FALSE,22
2017,1,hi,Eszopiclone,TRUE,0
2017,1,hi,Zaleplon,TRUE,0
